iteration,cost
1645,1.704374
1646,1.708790
1647,1.705054
1648,1.715314
1649,1.690275
1650,1.714115
1651,1.696418
1652,1.699866
1653,1.714026
1654,1.692444
1655,1.716661
1656,1.715403
1657,1.693852
1658,1.716268
1659,1.708410
1660,1.698511
1661,1.704329
1662,1.707166
1663,1.694042
1664,1.712323
1665,1.693109
1666,1.699483
1667,1.697367
1668,1.690780
1669,1.690609
1670,1.693770
1671,1.710058
1672,1.681404
1673,1.705562
1674,1.713227
1675,1.711380
1676,1.704653
1677,1.702219
1678,1.710784
1679,1.715846
1680,1.706992
1681,1.710504
1682,1.698052
1683,1.701000
1684,1.682522
1685,1.712686
1686,1.688012
1687,1.704963
1688,1.673341
1689,1.712415
1690,1.689703
1691,1.695171
1692,1.688605
1693,1.692444
1694,1.715213
1695,1.711512
1696,1.694341
1697,1.695257
1698,1.701608
1699,1.693710
1700,1.701671
1701,1.691532
1702,1.730181
1703,1.695015
1704,1.699391
1705,1.708512
1706,1.693639
1707,1.699867
1708,1.694977
1709,1.708371
1710,1.689916
1711,1.685275
1712,1.691089
1713,1.687677
1714,1.705419
1715,1.707465
1716,1.703957
1717,1.698156
1718,1.692753
1719,1.693727
1720,1.709575
1721,1.694787
1722,1.699051
1723,1.702620
1724,1.699580
1725,1.690344
1726,1.694604
1727,1.692760
1728,1.678400
1729,1.692630
1730,1.709340
1731,1.701299
1732,1.683147
1733,1.698818
1734,1.705616
1735,1.704827
1736,1.694011
1737,1.685015
1738,1.693179
1739,1.690677
1740,1.708941
1741,1.693176
1742,1.696391
1743,1.697172
1744,1.708199
1745,1.694052
1746,1.693364
1747,1.684127
1748,1.702160
1749,1.681833
1750,1.672185
1751,1.696024
1752,1.697789
1753,1.692401
1754,1.681953
1755,1.694600
1756,1.683467
1757,1.694354
1758,1.695340
1759,1.680236
1760,1.692344
1761,1.694890
1762,1.697239
1763,1.698848
1764,1.691051
1765,1.691477
1766,1.681876
1767,1.693398
1768,1.673760
1769,1.688346
1770,1.680342
1771,1.684509
1772,1.698433
